student_id,student_name,gender,grade_name,branch,arts_score,english_score,math_score,phys_ed_score,science_score,average_marks,gpa,attendance,exam_status
STU0001,Mack,Female,Grade 5,Math's,69.11,85.16,43.5,59.51,30.82,57.62,3,80.06,Pass
STU0002,Tyler,Female,Grade 1,Phys.Ed,62.33,60.01,50.43,59.59,66.55,59.78,3,77.86,Pass
STU0003,Mason,Female,Grade 3,Science,44.74,71.26,49.19,57.5,53.37,55.21,3,98.82,Pass
STU0004,Hudson,Male,Grade 2,Arts,74.34,48.91,63.76,37.48,41.75,53.25,2,85.57,Not Attended
STU0005,Olivia,Female,Grade 3,Phys.Ed,73.08,68.4,57.92,57.39,39.34,59.22,3,78.24,Pass
STU0006,Sophia,Male,Grade 2,Science,51.85,74.56,78.56,72.18,49.57,65.34,3,81.53,Pass
STU0007,Hudson,Female,Grade 2,Science,74.19,84.99,58.7,73.04,68.79,71.94,4,78.84,Pass
STU0008,Ava,Male,Grade 1,English,63.31,61.81,61.65,37.15,59.49,56.68,3,86.86,Pass
STU0009,Emma,Male,Grade 2,Math's,72.57,71.05,33.59,71.71,61.32,62.05,3,76.36,Pass
STU0010,Mason,Female,Grade 5,English,57.09,53.94,55.35,66.53,41.41,54.86,2,75.85,Pass
STU0011,Cal,Female,Grade 2,Math's,48.4,54.56,51.3,54.16,29.53,47.59,2,94.11,Pass
STU0012,Mason,Female,Grade 2,English,50.63,72.4,58.84,65.14,61.72,61.75,3,82.07,Pass
STU0013,Shawn,Male,Grade 3,Phys.Ed,58.79,56.35,73.1,53.57,68.7,62.1,3,83.82,Pass
STU0014,Noah,Female,Grade 5,Phys.Ed,91.01,67.13,52.5,71.29,74.49,71.29,4,76.39,Pass
STU0015,Mason,Female,Grade 1,Arts,48.21,87.7,45.9,57.14,76.02,62.99,3,74.15,Pass
STU0016,Mason,Female,Grade 2,Arts,65.9,76.95,37.73,45.15,71.35,59.42,3,86.38,Fail
STU0017,Jack,Female,Grade 5,Arts,66.4,56.0,93.58,66.69,43.94,65.32,3,89.25,Pass
STU0018,Jack,Female,Grade 2,Phys.Ed,82.15,55.72,42.72,74.26,73.15,65.6,3,100.0,Pass
STU0019,Ava,Female,Grade 5,Science,75.66,65.58,25.15,50.83,84.83,60.41,3,93.38,Pass
STU0020,Noah,Male,Grade 4,Arts,35.25,62.6,65.89,67.08,60.96,58.35,3,86.73,Pass
STU0021,Tyler,Female,Grade 5,Science,77.68,61.21,43.33,54.84,74.36,62.29,3,84.74,Pass
