student_id,student_name,gender,school_type,grade_name,branch,parent_education,commute_time,prior_gpa,attendance_pct,quiz_avg,assignment_avg,midterm_score,study_hours_per_week,on_time_submission_pct,lms_logins_per_week,forum_posts,engagement_score,arts_score,english_score,math_score,phys_ed_score,science_score,average_marks,final_score,gpa,grade_band,exam_status,at_risk
STU0001,Mack,Female,Semi-Government,Grade 4,English,Graduate,68.76,6.92,88.17,48.38,54.55,45.43,2.3,3.3,3,2,2.47,63.01,46.05,50.2,62.33,44.58,51.82,68.54,2,C,Pass,1
STU0002,Michal,Male,Semi-Government,Grade 2,Science,Graduate,34.77,5.38,59.55,78.98,92.46,49.9,7.5,37.36,4,4,5.4,73.19,40.29,70.16,61.31,70.57,67.11,81.96,3,B,Fail,1
STU0003,Vivaan,Female,Semi-Government,Grade 2,Science,Graduate,72.49,7.37,86.2,77.89,77.59,53.44,3.51,29.8,2,4,3.1,76.59,77.14,86.92,65.06,100.0,76.83,73.17,4,B,Pass,0
STU0004,Damon,Female,Government,Grade 4,Phys.Ed,High School,60.2,9.19,81.29,65.95,45.49,26.79,6.76,69.26,4,1,4.35,76.44,63.06,46.07,56.68,74.59,56.88,77.86,3,B,Pass,1
STU0005,Kabir,Female,Government,Grade 2,Math's,High School,49.36,4.38,65.27,53.15,49.56,54.45,7.62,100.0,5,1,5.05,62.9,100.0,56.54,64.62,62.44,62.96,57.25,3,C,Not Attended,0
STU0006,Aarav,Female,Government,Grade 2,Science,High School,66.84,8.61,94.28,42.39,65.38,47.14,9.69,100.0,0,1,4.13,46.07,72.63,43.45,79.6,50.47,55.89,82.37,3,B,Fail,1
STU0007,Meera,Female,Government,Grade 5,Arts,Graduate,56.79,3.93,73.9,80.01,66.74,44.77,2.61,85.59,11,2,5.39,61.93,60.63,51.67,47.65,76.88,61.29,77.3,3,B,Pass,1
STU0008,Noah,Female,Private,Grade 2,Science,Graduate,57.59,7.87,71.52,21.27,48.75,88.02,10.69,57.05,3,2,5.83,66.91,73.09,57.7,65.1,96.9,64.72,92.42,3,A,Not Attended,1
STU0009,Mason,Male,Government,Grade 2,Math's,High School,16.43,6.82,52.07,63.46,70.94,38.56,6.61,67.4,9,3,6.54,76.31,75.12,54.33,70.11,50.63,62.43,75.39,3,B,Fail,1
STU0010,Riya,Male,Private,Grade 2,English,Graduate,57.97,5.88,81.53,20.17,71.67,46.09,9.11,64.86,4,0,5.04,60.39,59.19,88.67,55.79,51.28,56.66,63.44,3,C,Pass,1
